timestamp,BTC/USD,ETH/USD,UNI/USD,LINK/USD,DOGE/USD,LTC/USD,AAVE/USD,BCH/USD,DOT/USD,AVAX/USD,SHIB/USD
2023-12-20 00:00:00+00:00,43520.5,2194.077,5.887525,14.2455,0.091041,69.588,99.263,229.465,7.22184,44.1905,1.0215e-05
2023-12-21 00:00:00+00:00,44154.81,2259.5115,6.22855,15.53015,0.09376435,70.9615,100.0155,233.7745,8.15143,47.98715,1.059e-05
2023-12-22 00:00:00+00:00,43636.4395,2291.7335,6.21585,15.10725,0.09333605,72.2734,97.77755,233.428,7.75325,44.5632,1.0755e-05
2023-12-23 00:00:00+00:00,43501.845,2286.2,6.510365,15.4825,0.093095,72.1586,100.767,231.49,8.4895,47.245,1.0835e-05
2023-12-24 00:00:00+00:00,43247.684,2286.476,6.877385,15.5329,0.09265515,71.59165,103.6565,231.553,9.2053,47.60055,1.0765e-05
2023-12-25 00:00:00+00:00,42791.7125,2235.66,6.7095,15.2205,0.0923865,71.3999,99.602,229.885,9.06505,46.16775,1.0645e-05
2023-12-26 00:00:00+00:00,42435.15,2225.7085,7.17395,14.9096,0.090876,73.6795,100.53,233.845,8.613425,43.675,1.0465e-05
2023-12-27 00:00:00+00:00,43251.149,2390.66,7.419995,17.4601,0.09379735,76.32395,126.21,269.5415,8.566895,41.8431,1.0855e-05
2023-12-28 00:00:00+00:00,42706.025,2359.285,7.758255,15.94895,0.092383,76.8275,113.15,255.8745,8.43735,41.364,1.06e-05
2023-12-29 00:00:00+00:00,42077.97,2306.974,7.77299,15.47,0.09051535,73.9337,116.496,276.9795,8.447695,39.79,1.0545e-05
2023-12-30 00:00:00+00:00,42206.355,2280.7835,7.35961,15.01195,0.0900625,72.8351,112.79,263.2515,8.2772,39.609,1.0445e-05
2023-12-31 00:00:00+00:00,42388.675,2279.05,7.22825,14.9215,0.08913825,72.506,108.77,257.2,8.1398,38.2149,1.0295e-05
2024-01-01 00:00:00+00:00,45244.4435,2380.1305,7.62875,15.81,0.09291665,74.7165,116.2835,268.445,8.6565,42.8032,1.0745e-05
2024-01-02 00:00:00+00:00,45205.215,2378.65,7.3315,15.5215,0.09159395,73.289,112.0525,259.2835,8.52495,40.8205,1.0615e-05
